Country/Territory,2020 Population
Afghanistan,38972230
Albania,2866849
Algeria,43451666
Argentina,45036032
Armenia,2805608
Australia,25670051
Austria,8907777
Azerbaijan,10284951
Bahrain,1477469
Bangladesh,167420951
Belarus,9633740
Belgium,11561717
Benin,12643123
Bhutan,772506
Bolivia,11936162
Bosnia and Herzegovina,3318407
Botswana,2546402
Brazil,213196304
Bulgaria,6979175
Burkina Faso,21522626
Burundi,12220227
Cambodia,16396860
Cameroon,26491087
Canada,37888705
Central African Republic,5343020
Chad,16644701
Chile,19300315
China,1424929781
Colombia,50930662
Comoros,806166
Costa Rica,5123105
Croatia,4096868
Cyprus,1237537
Czech Republic,10530953
Denmark,5825641
Dominican Republic,10999664
Ecuador,17588595
Egypt,107465134
El Salvador,6292731
Estonia,1329444
Ethiopia,117190911
Finland,5529468
France,64480053
Gabon,2292573
Gambia,2573995
Georgia,3765912
Germany,83328988
Ghana,32180401
Greece,10512232
Guatemala,17362718
Guinea,13205153
Haiti,11306801
Honduras,10121763
Hong Kong,7500958
Hungary,9750573
Iceland,366669
India,1396387127
Indonesia,271857970
Iran,87290193
Iraq,42556984
Ireland,4946119
Israel,8757489
Italy,59500579
Ivory Coast,26811790
Jamaica,2820436
Japan,125244761
Jordan,10928721
Kazakhstan,18979243
Kenya,51985780
Kuwait,4360444
Kyrgyzstan,6424874
Laos,7319399
Latvia,1897052
Lebanon,5662923
Lesotho,2254100
Liberia,5087584
Libya,6653942
Lithuania,2820267
Luxembourg,630399
Madagascar,28225177
Malawi,19377061
Malaysia,33199993
Mali,21224040
Malta,515357
Mauritania,4498604
Mauritius,1297828
Mexico,125998302
Moldova,3084847
Mongolia,3294335
Montenegro,629048
Morocco,36688772
Mozambique,31178239
Myanmar,53423198
Namibia,2489098
Nepal,29348627
Netherlands,17434557
New Zealand,5061133
Nicaragua,6755895
Niger,24333639
Nigeria,208327405
North Macedonia,2111072
Norway,5379839
Pakistan,227196741
Palestine,5019401
Panama,4294396
Paraguay,6618695
Peru,33304756
Philippines,112190977
Poland,38428366
Portugal,10298192
Qatar,2760385
Romania,19442038
Russia,145617329
Rwanda,13146362
Saudi Arabia,35997107
Senegal,16436119
Serbia,7358005
Sierra Leone,8233969
Singapore,5909869
Slovakia,5456681
Slovenia,2117641
Somalia,16537016
South Africa,58801927
South Korea,51844690
Spain,47363807
Sri Lanka,21715079
Sweden,10368969
Switzerland,8638613
Syria,20772595
Taiwan,23821464
Tajikistan,9543207
Tanzania,61704518
Thailand,71475664
Timor-Leste,1299995
Togo,8442580
Tunisia,12161723
Turkey,84135428
Turkmenistan,6250438
Uganda,44404611
Ukraine,43909666
United Arab Emirates,9287289
United Kingdom,67059474
United States,335942003
Uruguay,3429086
Uzbekistan,33526656
Venezuela,28490453
Vietnam,96648685
Yemen,32284046
Zambia,18927715
Zimbabwe,15669666
